Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-27 00:00:00+05:30,1132.2733835925403,1152.7398838629008,1129.108262008442,1146.2906494140625,6024512,0.0,0.0
2019-05-28 00:00:00+05:30,1150.1697903252127,1151.8356683579618,1136.1526398329954,1150.0269775390625,3682420,0.0,0.0
2019-05-29 00:00:00+05:30,1147.1711642048533,1156.9760926298015,1147.1711642048533,1150.360107421875,3737608,0.0,0.0
2019-05-30 00:00:00+05:30,1149.9317451058039,1165.1149861533424,1148.5276712237462,1161.1407470703125,4679600,0.0,0.0
2019-05-31 00:00:00+05:30,1169.3511602481294,1173.2540510924143,1121.7546470192283,1154.382080078125,9892540,0.0,0.0
2019-06-03 00:00:00+05:30,1155.1673004591883,1170.778979016961,1154.1915487613742,1169.493896484375,4240430,0.0,0.0
2019-06-04 00:00:00+05:30,1168.494311034732,1173.6109358182853,1161.8546211839996,1167.209228515625,3221494,0.0,0.0
2019-06-06 00:00:00+05:30,1167.6376655784818,1175.633903221445,1148.6705243512035,1153.43017578125,7817462,0.0,0.0
2019-06-07 00:00:00+05:30,1154.5247391098617,1168.1373879316038,1146.599966395939,1164.9959716796875,3985466,0.0,0.0
2019-06-10 00:00:00+05:30,1175.610035692134,1175.610035692134,1157.5948254562609,1161.4500732421875,3538570,0.0,0.0
2019-06-11 00:00:00+05:30,1166.8285657904366,1170.8266265714024,1161.5216008463367,1165.35302734375,3551646,0.0,0.0
2019-06-12 00:00:00+05:30,1163.7347127312737,1165.3529476504223,1153.572810987805,1155.191162109375,3654310,0.0,0.0
2019-06-13 00:00:00+05:30,1159.4272240976316,1167.0664876015767,1149.9079215886463,1163.5919189453125,5553974,0.0,0.0
2019-06-14 00:00:00+05:30,1162.759083996005,1170.3745266844694,1154.215532470371,1159.0228271484375,5978460,0.0,0.0
2019-06-17 00:00:00+05:30,1158.975144629632,1161.3073273924736,1150.5505846832825,1152.78759765625,6405010,0.0,0.0
2019-06-18 00:00:00+05:30,1150.8835851448573,1157.5470963905266,1144.2200738991883,1150.526611328125,6209826,0.0,0.0
2019-06-19 00:00:00+05:30,1155.167459137978,1163.6871891376682,1150.2649946823612,1155.81005859375,5372138,0.0,0.0
2019-06-20 00:00:00+05:30,1162.9937355133463,1167.1363763328445,1156.4085384782306,1162.035888671875,5585746,7.5,0.0
2019-06-21 00:00:00+05:30,1161.8682387926335,1163.6402320950594,1152.1221002422933,1156.2169189453125,6625130,0.0,0.0
2019-06-24 00:00:00+05:30,1155.1392769685747,1164.071268577626,1154.205399718879,1158.0128173828125,3457500,0.0,0.0
2019-06-25 00:00:00+05:30,1158.9228528867995,1169.2914978756942,1150.8529467111582,1163.1612548828125,4449900,0.0,0.0
2019-06-26 00:00:00+05:30,1161.2454703511448,1182.9407223689961,1159.9524006387485,1181.9349365234375,5266818,0.0,0.0
2019-06-27 00:00:00+05:30,1182.3422065372338,1194.6744847421285,1176.3077246069147,1179.253173828125,9939618,0.0,0.0
2019-06-28 00:00:00+05:30,1180.0673401534527,1185.3354979219948,1167.1603770054576,1170.369140625,6378422,0.0,0.0
